epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6891,0.51741,4.54368,0.99238,0.88457,0.22222,0.17519,0.16465,0.47673,4.52284,0.94971,2.858e-05,2.858e-05,2.858e-05
2,48.4712,0.49928,3.91214,0.98419,0.85993,0.22222,0.33125,0.30168,0.35655,4.44854,0.83531,7.02711e-05,7.02711e-05,7.02711e-05
3,70.1985,0.55644,2.73263,1.02424,0.53814,0.91667,0.801,0.74838,0.3584,2.70283,0.845,0.000110547,0.000110547,0.000110547
4,91.1854,0.45363,1.73457,0.95151,0.83904,0.63953,0.79101,0.7443,0.50146,3.12782,0.80985,0.000149409,0.000149409,0.000149409
5,111.653,0.56993,1.62353,0.97815,0.86467,0.98284,0.97833,0.90783,0.37471,2.87622,0.77969,0.000186856,0.000186856,0.000186856
6,131.82,0.67451,1.47982,1.03049,0.87892,0.93354,0.96167,0.91242,0.3234,2.83304,0.76058,0.000222888,0.000222888,0.000222888
7,151.976,0.47551,1.22074,0.87535,0.88819,1,0.97833,0.93567,0.37546,2.64342,0.77513,0.000257506,0.000257506,0.000257506
8,171.971,0.58059,1.23384,0.96623,0.95326,1,0.995,0.93867,0.44523,2.49151,0.78676,0.000290709,0.000290709,0.000290709
9,191.931,0.49149,1.1015,0.86383,0.92457,0.84948,0.9675,0.89558,0.46436,2.24489,0.81185,0.000322497,0.000322497,0.000322497
10,211.757,0.53708,1.08548,0.92153,0.94582,0.88157,0.9675,0.86642,0.50682,2.22035,0.83516,0.00035287,0.00035287,0.00035287
11,231.687,0.49811,1.03207,0.90832,0.93485,0.88889,0.951,0.79402,0.55753,2.28948,0.90692,0.000381829,0.000381829,0.000381829
12,251.266,0.47409,0.78668,0.90132,0.87628,0.91865,0.91208,0.80499,0.48788,2.08331,0.85025,0.000409373,0.000409373,0.000409373
13,271.264,0.49181,0.83746,0.93957,0.94953,0.97693,0.995,0.87606,0.51436,2.0275,0.86227,0.000435502,0.000435502,0.000435502
14,291.896,0.49458,0.86059,0.90862,0.9642,0.89856,0.995,0.87506,0.49866,1.88637,0.85287,0.000460217,0.000460217,0.000460217
15,311.885,0.53255,0.86605,0.92651,0.94537,0.83333,0.93944,0.81025,0.58099,1.92,0.9017,0.000483516,0.000483516,0.000483516
16,332.008,0.62381,0.93658,0.99916,0.75948,0.83333,0.93944,0.82764,0.49529,1.87624,0.81692,0.000505402,0.000505402,0.000505402
17,352.133,0.58344,0.82061,0.97696,0.95285,0.55556,0.80167,0.73117,0.53586,2.00328,0.82943,0.000525872,0.000525872,0.000525872
18,372.326,0.57585,0.82088,0.97031,0.79118,0.81247,0.92333,0.8105,0.56324,1.82588,0.84994,0.000544928,0.000544928,0.000544928
19,392.35,0.57898,0.78774,0.9107,0.75507,0.98998,0.96167,0.74916,0.57852,1.80126,0.89634,0.000562569,0.000562569,0.000562569
20,411.637,0.58355,0.76825,0.93959,0.90657,0.70231,0.86611,0.71915,0.62686,1.64988,0.93406,0.000578795,0.000578795,0.000578795
21,430.794,0.69701,1.00327,1.04168,0.92284,0.88889,0.90563,0.77683,0.68411,1.47631,1.01154,0.000593607,0.000593607,0.000593607
22,449.908,0.58745,0.67129,0.91581,0.86137,0.85263,0.94,0.84479,0.54622,1.48503,0.86106,0.000607003,0.000607003,0.000607003
23,468.566,0.52153,0.6208,0.93174,0.73635,0.88889,0.9675,0.8485,0.5275,1.39515,0.86862,0.000618986,0.000618986,0.000618986
24,487.355,0.64817,0.61191,1.01941,0.82356,0.88889,0.9675,0.87064,0.46108,0.9938,0.84687,0.000629553,0.000629553,0.000629553
25,505.518,0.60357,0.83508,0.97249,0.84568,0.91667,0.96722,0.87928,0.53471,1.10852,0.86704,0.000638706,0.000638706,0.000638706
26,524.753,0.56603,0.72929,1.02784,0.87215,0.91575,0.97833,0.879,0.49193,0.9506,0.87246,0.000646444,0.000646444,0.000646444
27,543.485,0.64195,0.83022,1.06459,0.80907,0.99714,0.90667,0.82363,0.50463,0.93175,0.87484,0.000652767,0.000652767,0.000652767
28,562.749,0.54889,0.63238,0.9185,0.78789,0.9865,0.88444,0.80089,0.47326,1.13606,0.85213,0.000657676,0.000657676,0.000657676
29,582.58,0.5936,0.70801,0.98514,0.78789,0.9865,0.88444,0.80089,0.47326,1.13606,0.85213,0.00066117,0.00066117,0.00066117
30,601.888,0.53446,0.63019,0.89315,0.73886,0.86556,0.92417,0.82067,0.47462,1.16463,0.82824,0.000663249,0.000663249,0.000663249
31,621.307,0.56464,0.58395,0.93694,0.61541,1,0.96167,0.8711,0.5326,1.2422,0.86199,0.000663913,0.000663913,0.000663913
32,640.013,0.52772,0.56862,0.92427,0.92339,0.87946,0.95929,0.7901,0.51708,0.94404,0.86933,0.000663163,0.000663163,0.000663163
33,658.653,0.47157,0.57257,0.89615,0.92339,0.87946,0.95929,0.7901,0.51708,0.94404,0.86933,0.000660998,0.000660998,0.000660998
34,677.749,0.52712,0.61295,0.95615,0.93844,0.91667,0.97833,0.86539,0.5086,0.85241,0.89654,0.000650909,0.000650909,0.000650909
35,696.528,0.47561,0.58657,0.96138,0.8837,0.96474,0.995,0.88442,0.49911,0.88227,0.84622,0.000627331,0.000627331,0.000627331
36,715.774,0.57006,0.52032,0.94049,0.80551,0.948,0.88444,0.80158,0.50372,1.03134,0.83643,0.000603752,0.000603752,0.000603752
37,735.464,0.54685,0.5339,0.96394,0.80551,0.948,0.88444,0.80158,0.50372,1.03134,0.83643,0.000580174,0.000580174,0.000580174
38,754.702,0.54194,0.6032,0.9457,0.80268,0.91667,0.86778,0.82077,0.40549,1.01097,0.80898,0.000556595,0.000556595,0.000556595
39,773.87,0.61168,0.63968,0.98216,0.78987,1,0.88444,0.80408,0.47903,0.84219,0.94438,0.000533017,0.000533017,0.000533017
40,792.48,0.50325,0.54017,0.92987,0.79374,1,0.88444,0.78389,0.50648,0.84048,0.99475,0.000509438,0.000509438,0.000509438
41,812.123,0.42531,0.5363,0.9211,0.79374,1,0.88444,0.78389,0.50648,0.84048,0.99475,0.00048586,0.00048586,0.00048586
42,831.469,0.5115,0.51038,0.97464,0.82829,1,0.88444,0.75597,0.51007,0.85676,0.99463,0.000462281,0.000462281,0.000462281
43,850.899,0.45552,0.48058,0.93228,0.8303,0.88919,0.86778,0.75911,0.42702,0.89346,0.87417,0.000438703,0.000438703,0.000438703
44,870.241,0.53511,0.5183,1.01678,0.79055,0.75,0.78287,0.72852,0.38841,0.82349,0.80405,0.000415124,0.000415124,0.000415124
45,889.299,0.41786,0.47521,0.8828,0.79055,0.75,0.78287,0.72852,0.38841,0.82349,0.80405,0.000391546,0.000391546,0.000391546
46,908.359,0.47154,0.49702,0.89928,0.80647,0.75,0.895,0.83008,0.40466,0.80099,0.8132,0.000367967,0.000367967,0.000367967
47,927.614,0.43482,0.44583,0.90579,0.84947,0.75,0.895,0.76044,0.40813,0.78094,0.80914,0.000344389,0.000344389,0.000344389
48,947.108,0.41374,0.44773,0.8829,0.91027,0.81493,0.895,0.77882,0.41652,0.79022,0.81286,0.00032081,0.00032081,0.00032081
49,967.148,0.40933,0.47128,0.91718,0.91027,0.81493,0.895,0.77882,0.41652,0.79022,0.81286,0.000297232,0.000297232,0.000297232
50,986.931,0.39247,0.4044,0.89554,0.93752,0.83333,0.895,0.80957,0.42159,0.73089,0.81043,0.000273654,0.000273654,0.000273654
51,1006.31,0.41573,0.72217,0.88511,0.92051,0.83333,0.91167,0.85306,0.37996,0.59248,0.80191,0.000250075,0.000250075,0.000250075
52,1024.88,0.30813,0.40656,0.82311,0.87612,0.98445,0.995,0.94889,0.35964,0.51908,0.79322,0.000226497,0.000226497,0.000226497
53,1043.74,0.32501,0.42943,0.85959,0.87612,0.98445,0.995,0.94889,0.35964,0.51908,0.79322,0.000202918,0.000202918,0.000202918
54,1063.2,0.2929,0.38762,0.78135,0.86922,0.98536,0.995,0.95692,0.3366,0.49145,0.7859,0.00017934,0.00017934,0.00017934
55,1082.36,0.29765,0.38737,0.83463,0.95488,1,0.995,0.98458,0.31692,0.43715,0.77478,0.000155761,0.000155761,0.000155761
56,1101,0.27316,0.36742,0.75969,0.9588,1,0.995,0.95578,0.30208,0.40471,0.76721,0.000132183,0.000132183,0.000132183
57,1119.77,0.25872,0.35549,0.80667,0.9588,1,0.995,0.95578,0.30208,0.40471,0.76721,0.000108604,0.000108604,0.000108604
58,1139,0.28887,0.36352,0.83245,0.95792,1,0.995,0.93911,0.29867,0.39127,0.76719,8.50255e-05,8.50255e-05,8.50255e-05
59,1157.96,0.28657,0.34278,0.80794,0.95973,1,0.995,0.94925,0.29498,0.38425,0.76749,6.1447e-05,6.1447e-05,6.1447e-05
60,1177.22,0.27769,0.35733,0.78484,0.9597,1,0.995,0.94925,0.2942,0.36905,0.76718,3.78685e-05,3.78685e-05,3.78685e-05
